Player1,Player2,Score1,Score2
刘思皓,郭大兴,0,5
刘思皓,王远飞,5,0
刘思皓,杨博文,0,5
刘思皓,王凯,5,2
刘思皓,李冉,5,1
刘思皓,陈蔚,3,5
郭大兴,王远飞,5,1
郭大兴,杨博文,2,5
郭大兴,王凯,5,0
郭大兴,李冉,5,0
郭大兴,陈蔚,5,2
王远飞,杨博文,0,5
王远飞,王凯,5,3
王远飞,李冉,5,1
王远飞,陈蔚,2,5
杨博文,王凯,5,0
杨博文,李冉,5,1
杨博文,陈蔚,5,2
王凯,李冉,2,5
王凯,陈蔚,1,5
李冉,陈蔚,1,5
圣凯枫,石张林,5,4
圣凯枫,汪世钰,5,2
圣凯枫,韩泊明,5,2
圣凯枫,何健豪,4,5
圣凯枫,果泽龄,5,0
圣凯枫,曾英繁,2,5
石张林,汪世钰,1,5
石张林,韩泊明,5,4
石张林,何健豪,2,5
石张林,果泽龄,5,1
石张林,曾英繁,0,5
汪世钰,韩泊明,5,3
汪世钰,何健豪,4,5
汪世钰,果泽龄,5,2
汪世钰,曾英繁,3,5
韩泊明,何健豪,3,5
韩泊明,果泽龄,4,5
韩泊明,曾英繁,4,5
何健豪,果泽龄,5,0
何健豪,曾英繁,5,4
果泽龄,曾英繁,1,5
黄业增,朱海,1,5
黄业增,方诗禹,3,5
黄业增,胡宇,1,5
黄业增,钱益峰,0,5
黄业增,张超杰,0,5
黄业增,曾德蕾,0,5
朱海,方诗禹,5,1
朱海,胡宇,5,2
朱海,钱益峰,5,2
朱海,张超杰,2,5
朱海,曾德蕾,3,5
方诗禹,胡宇,1,5
方诗禹,钱益峰,3,5
方诗禹,张超杰,4,5
方诗禹,曾德蕾,2,5
胡宇,钱益峰,5,4
胡宇,张超杰,5,4
胡宇,曾德蕾,4,5
钱益峰,张超杰,0,5
钱益峰,曾德蕾,1,5
张超杰,曾德蕾,2,5
张明岽,黄睿超,5,3
张明岽,王思杰,4,5
张明岽,王一霖,5,4
黄睿超,王思杰,4,5
黄睿超,王一霖,4,5
王思杰,王一霖,3,5
高鸿霖,任毅,2,5
高鸿霖,刘振兴,4,5
高鸿霖,米田明広,3,5
高鸿霖,姜禹维,5,2
高鸿霖,耿汉强,5,3
任毅,刘振兴,5,4
任毅,米田明広,1,5
任毅,姜禹维,5,3
任毅,耿汉强,4,5
刘振兴,米田明広,1,5
刘振兴,姜禹维,5,3
刘振兴,耿汉强,3,5
米田明広,姜禹维,5,4
米田明広,耿汉强,5,3
姜禹维,耿汉强,5,1
